               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043178,            0.020998,            0.032174,              0.4361,             0.65647,              0.5434,             0.34692,            0.012763,           0.0058827,            0.011809,           0.0033258,           0.0033258,            0.070068
                   1,            0.029939,            0.013252,            0.020606,             0.71224,             0.75825,             0.81348,             0.57015,            0.010784,           0.0046587,           0.0072077,           0.0066526,           0.0066526,            0.040061
                   2,            0.029353,            0.012438,            0.017869,             0.76594,             0.74426,             0.80792,              0.5392,            0.011545,            0.005063,           0.0064729,           0.0099727,           0.0099727,            0.010048
                   3,            0.027099,            0.012142,            0.016261,             0.83666,             0.81937,             0.88554,             0.66376,            0.010026,           0.0043219,            0.004662,           0.0099703,           0.0099703,           0.0099703
                   4,            0.025289,            0.011771,            0.014353,             0.82751,             0.85332,              0.8929,             0.68102,           0.0087837,           0.0041616,           0.0041628,           0.0099703,           0.0099703,           0.0099703
                   5,            0.022647,            0.011411,            0.013488,             0.86248,             0.86328,             0.91064,             0.70903,            0.008673,            0.003989,           0.0036538,           0.0099604,           0.0099604,           0.0099604
                   6,            0.021658,            0.011215,            0.012729,             0.87654,             0.86326,             0.92176,             0.72615,           0.0082716,           0.0038647,           0.0034656,           0.0099505,           0.0099505,           0.0099505
                   7,            0.020244,             0.01081,            0.012077,             0.86404,             0.88588,             0.92718,             0.70977,           0.0089085,           0.0039384,           0.0036208,           0.0099406,           0.0099406,           0.0099406
                   8,            0.020334,            0.011017,            0.011954,             0.86497,             0.89493,             0.92659,             0.73858,           0.0075982,           0.0038547,           0.0028083,           0.0099307,           0.0099307,           0.0099307
                   9,            0.019051,            0.010637,             0.01095,             0.89117,             0.89816,              0.9362,             0.75173,           0.0076494,           0.0037017,           0.0027049,           0.0099208,           0.0099208,           0.0099208
                  10,            0.018409,            0.010667,            0.010911,              0.8898,              0.8967,             0.93766,             0.75546,           0.0078632,           0.0036433,           0.0030217,           0.0099109,           0.0099109,           0.0099109
                  11,            0.018179,            0.010621,            0.010951,             0.90097,              0.8987,             0.94445,              0.7577,           0.0072842,           0.0037131,           0.0027316,            0.009901,            0.009901,            0.009901
                  12,            0.018364,            0.010697,            0.010842,             0.87791,             0.91455,             0.93882,             0.76534,           0.0072498,            0.003622,           0.0027487,           0.0098911,           0.0098911,           0.0098911
                  13,            0.018996,            0.010617,            0.010369,             0.88526,             0.91043,             0.93873,             0.75905,           0.0070035,           0.0037298,           0.0025217,           0.0098812,           0.0098812,           0.0098812
                  14,             0.01826,            0.010507,            0.010223,             0.89504,             0.90495,             0.94229,             0.76993,           0.0070032,           0.0036238,           0.0025403,           0.0098713,           0.0098713,           0.0098713
                  15,            0.017679,            0.010406,            0.010046,             0.90183,             0.91361,             0.94879,             0.76995,           0.0068539,           0.0036019,           0.0021763,           0.0098614,           0.0098614,           0.0098614
                  16,            0.017138,            0.010456,           0.0095789,             0.89826,             0.90979,             0.94421,             0.77383,           0.0070493,           0.0035873,           0.0024551,           0.0098515,           0.0098515,           0.0098515
                  17,            0.017261,            0.010349,            0.010385,             0.91181,             0.90988,             0.94865,             0.77716,           0.0070661,           0.0035375,           0.0021471,           0.0098416,           0.0098416,           0.0098416
                  18,            0.017571,            0.010295,           0.0098291,             0.92238,             0.91738,             0.95299,              0.7764,           0.0070015,           0.0035665,           0.0018629,           0.0098317,           0.0098317,           0.0098317
